country;group;week;zscore
Israel;Total;2020-01;0.76
Israel;Total;2020-02;0.11
Israel;Total;2020-03;0.74
Israel;Total;2020-04;0.01
Israel;Total;2020-05;-0.06
Israel;Total;2020-06;-0.4
Israel;Total;2020-07;-0.2
Israel;Total;2020-08;0.02
Israel;Total;2020-09;-0.58
Israel;Total;2020-10;-0.34
Israel;Total;2020-11;0.01
Israel;Total;2020-12;-0.5
Israel;Total;2020-13;0.33
Israel;Total;2020-14;0.8
Israel;Total;2020-15;-0.34
Israel;Total;2020-16;0.17
Israel;Total;2020-17;0.05
Israel;Total;2020-18;-0.47
Israel;Total;2020-19;-0.14
Israel;Total;2020-20;-0.12
Israel;Total;2020-21;0.99
Israel;Total;2020-22;-0.03
Israel;Total;2020-23;-0.19
Israel;Total;2020-24;-0.37
Israel;Total;2020-25;-0.23
Israel;Total;2020-26;-0.31
Israel;Total;2020-27;-0.26
Israel;Total;2020-28;0.3
Israel;Total;2020-29;0.29
Israel;Total;2020-30;0.12
Israel;Total;2020-31;1.19
Israel;Total;2020-32;0.46
Israel;Total;2020-33;1.19
Israel;Total;2020-34;0.87
Israel;Total;2020-35;0.7
Israel;Total;2020-36;0.6
Israel;Total;2020-37;1.1
Israel;Total;2020-38;1.38
Israel;Total;2020-39;1.46
Israel;Total;2020-40;1.23
Israel;Total;2020-41;1.98
Israel;Total;2020-42;1.58
Israel;Total;2020-43;1.18
Israel;Total;2020-44;0.09
Israel;Total;2020-45;-0.25
Israel;Total;2020-46;-1.15
Israel;Total;2020-47;-0.26
Israel;Total;2020-48;-0.35
Israel;Total;2020-49;-0.46
Israel;Total;2020-50;-0.22
Israel;Total;2020-51;0.01
Israel;Total;2020-52;0.03
Israel;Total;2020-53;0.88
Israel;Total;2021-01;1.34
Israel;Total;2021-02;1.67
Israel;Total;2021-03;1.75
Israel;Total;2021-04;1.87
Israel;Total;2021-05;1.59
Israel;Total;2021-06;1.13
Israel;Total;2021-07;0.52
Israel;Total;2021-08;-0.01
Israel;Total;2021-09;-0.13
Israel;Total;2021-10;0.36
Israel;Total;2021-11;0.61
Israel;Total;2021-12;0.19
Israel;Total;2021-13;-0.32
Israel;Total;2021-14;0.49
Israel;Total;2021-15;-0.08
Israel;Total;2021-16;-0.43
Israel;Total;2021-17;-0.16
Israel;Total;2021-18;-0.36
Israel;Total;2021-19;0.16
Israel;Total;2021-20;0
Israel;Total;2021-21;-0.27
Israel;Total;2021-22;-0.56
Israel;Total;2021-23;-0.61
Israel;Total;2021-24;-0.34
Israel;Total;2021-25;0.26
Israel;Total;2021-26;0.07
Israel;Total;2021-27;0.06
Israel;Total;2021-28;-0.72
Israel;Total;2021-29;0.67
Israel;Total;2021-30;0.54
Israel;Total;2021-31;1.02
Israel;Total;2021-32;1.61
Israel;Total;2021-33;1.79
Israel;Total;2021-34;1.75
Israel;Total;2021-35;1.98
Israel;Total;2021-36;1.12
Israel;Total;2021-37;1.39
Israel;Total;2021-38;0.62
Israel;Total;2021-39;0.58
Israel;Total;2021-40;0.47
Israel;Total;2021-41;0.01
Israel;Total;2021-42;0.36
Israel;Total;2021-43;-0.55
Israel;Total;2021-44;-0.46
Israel;Total;2021-45;-0.23
Israel;Total;2021-46;-1.07
Israel;Total;2021-47;-1.29
Israel;Total;2021-48;-0.93
Israel;Total;2021-49;-0.43
Israel;Total;2021-50;-0.07
Israel;Total;2021-51;-0.25
Israel;Total;2021-52;0.39
Israel;Total;2022-01;0.1
Israel;Total;2022-02;1.07
Israel;Total;2022-03;2.26
Israel;Total;2022-04;2.86
Israel;Total;2022-05;3.39
Israel;Total;2022-06;2.73
Israel;Total;2022-07;1.63
Israel;Total;2022-08;1.07
Israel;Total;2022-09;0.5
Israel;Total;2022-10;-0.05
Israel;Total;2022-11;0.09
Israel;Total;2022-12;0.08
Israel;Total;2022-13;1.08
Israel;Total;2022-14;0.65
Israel;Total;2022-15;-0.65
Israel;Total;2022-16;-0.26
Israel;Total;2022-17;-0.13
Israel;Total;2022-18;0.05
Israel;Total;2022-19;-0.43
Israel;Total;2022-20;-0.53
Israel;Total;2022-21;-0.13
Israel;Total;2022-22;-0.4
Israel;Total;2022-23;-0.09
Israel;Total;2022-24;-0.06
Israel;Total;2022-25;-0.27
Israel;Total;2022-26;0.54
Israel;Total;2022-27;0.93
Israel;Total;2022-28;0.64
Israel;Total;2022-29;0.76
Israel;Total;2022-30;1.09
Israel;Total;2022-31;0.36
Israel;Total;2022-32;0.51
Israel;Total;2022-33;0.11
Israel;Total;2022-34;0.11
Israel;Total;2022-35;-0.15
Israel;Total;2022-36;-0.27
Israel;Total;2022-37;-0.49
Israel;Total;2022-38;-0.5
Israel;Total;2022-39;-0.14
Israel;Total;2022-40;-0.08
Israel;Total;2022-41;-0.68
Israel;Total;2022-42;-0.61
Israel;Total;2022-43;-0.74
Israel;Total;2022-44;-0.89
Israel;Total;2022-45;-0.85
Israel;Total;2022-46;-1.14
Israel;Total;2022-47;-0.78
Israel;Total;2022-48;-0.78
Israel;Total;2022-49;-0.79
Israel;Total;2022-50;0
Israel;Total;2022-51;-0.38
Israel;Total;2022-52;-0.43
Israel;Total;2023-01;0.11
Israel;Total;2023-02;-0.33
Israel;Total;2023-03;-0.17
Israel;Total;2023-04;0.25
Israel;Total;2023-05;-0.53
Israel;Total;2023-06;-0.25
Israel;Total;2023-07;-0.07
Israel;Total;2023-08;-0.17
Israel;Total;2023-09;0.08
Israel;Total;2023-10;-0.49
Israel;Total;2023-11;-0.29
Israel;Total;2023-12;-0.25
Israel;Total;2023-13;-1
Israel;Total;2023-14;-0.16
Israel;Total;2023-15;-0.33
Israel;Total;2023-16;-0.34
Israel;Total;2023-17;-0.59
Israel;Total;2023-18;-0.75
Israel;Total;2023-19;-0.25
Israel;Total;2023-20;-0.28
Israel;Total;2023-21;-0.01
Israel;Total;2023-22;-0.14
Israel;Total;2023-23;-0.8
Israel;Total;2023-24;-1.1
Israel;Total;2023-25;-0.36
Israel;Total;2023-26;-0.66
Israel;Total;2023-27;-0.47
Israel;Total;2023-28;-0.83
Israel;Total;2023-29;-0.66
Israel;Total;2023-30;-1.03
Israel;Total;2023-31;-0.09
Israel;Total;2023-32;0.07
Israel;Total;2023-33;-0.42
Israel;Total;2023-34;-0.73
Israel;Total;2023-35;-0.56
Israel;Total;2023-36;-0.48
Israel;Total;2023-37;-0.7
Israel;Total;2023-38;-0.26
Israel;Total;2023-39;-0.43
Israel;Total;2023-40;7.17
Israel;Total;2023-41;-0.41
Israel;Total;2023-42;-0.37
Israel;Total;2023-43;-0.53
Israel;Total;2023-44;-0.91
Israel;Total;2023-45;-1.03
Israel;Total;2023-46;-1.29
Israel;Total;2023-47;-1.3
Israel;Total;2023-48;-1.03
Israel;Total;2023-49;-0.01
Israel;Total;2023-50;0.57
Israel;Total;2023-51;0.49